CustomerID,Churn,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,Contract,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,ChargesTotal,ChargesMonthly
0076-LVEPS,No,Male,0,0,1,29,0,0,Month-to-month,1,Mailed check,DSL,Yes,Yes,Yes,Yes,No,No,1242.45,45.0
0078-XZMHT,No,Male,0,1,0,72,1,1,Two year,1,Bank transfer (automatic),DSL,No,Yes,Yes,Yes,Yes,Yes,6316.2,85.15
0080-EMYVY,No,Female,0,0,0,14,1,0,One year,0,Credit card (automatic),DSL,No,Yes,No,No,No,No,727.85,51.45
0080-OROZO,No,Female,0,0,0,35,1,0,One year,1,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,Yes,3532.0,99.25
0082-LDZUE,No,Male,0,0,0,1,1,0,Month-to-month,1,Mailed check,DSL,No,No,No,No,No,No,44.3,44.3
0082-OQIQY,No,Male,0,0,0,29,1,0,Month-to-month,1,Electronic check,Fiber optic,No,No,No,Yes,Yes,Yes,2607.6,94.2
0083-PIVIK,No,Male,0,0,0,64,1,1,One year,0,Electronic check,DSL,Yes,Yes,Yes,Yes,Yes,No,5567.55,81.25
0089-IIQKO,No,Female,0,1,1,39,1,1,Month-to-month,1,Credit card (automatic),Fiber optic,No,No,No,Yes,Yes,Yes,3767.4,99.95
0093-EXYQL,No,Female,1,0,0,40,1,0,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,Yes,Yes,3673.6,91.55
0093-XWZFY,Yes,Male,0,0,0,40,1,1,Month-to-month,1,Credit card (automatic),Fiber optic,No,Yes,Yes,No,Yes,Yes,4036.85,104.5
0094-OIFMO,Yes,Female,1,0,0,11,1,0,Month-to-month,1,Electronic check,Fiber optic,No,Yes,No,No,Yes,Yes,1120.3,95.0
0096-BXERS,No,Female,0,1,0,6,1,1,Month-to-month,0,Electronic check,DSL,No,No,No,No,No,No,314.55,50.35
0096-FCPUF,No,Male,0,0,0,30,1,1,Month-to-month,1,Mailed check,DSL,Yes,No,No,No,No,Yes,1888.45,64.5
0098-BOWSO,No,Male,0,0,0,27,1,0,Month-to-month,1,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,529.8,19.4
0100-DUVFC,No,Male,1,1,0,70,1,1,One year,1,Electronic check,Fiber optic,No,Yes,Yes,No,Yes,Yes,7308.95,104.8
0103-CSITQ,No,Female,0,1,0,57,1,1,One year,1,Bank transfer (automatic),Fiber optic,No,Yes,Yes,Yes,Yes,Yes,6252.7,109.4
0104-PPXDV,No,Male,0,1,0,58,1,0,One year,0,Credit card (automatic),DSL,No,No,Yes,No,No,No,2878.55,50.3
0106-GHRQR,No,Male,0,0,0,16,1,1,Month-to-month,1,Bank transfer (automatic),DSL,No,Yes,Yes,No,No,Yes,1212.1,71.4
0106-UGRDO,No,Female,0,1,0,69,1,1,Two year,1,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,8182.85,116.0
0107-WESLM,Yes,Male,0,0,0,1,1,0,Month-to-month,1,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.85,19.85
0107-YHINA,Yes,Male,0,0,1,1,1,1,Month-to-month,1,Electronic check,Fiber optic,No,No,Yes,No,Yes,Yes,99.75,99.75
0111-KLBQG,No,Male,1,1,1,32,1,0,Month-to-month,1,Mailed check,Fiber optic,No,Yes,No,No,Yes,Yes,2861.45,93.95
0112-QAWRZ,No,Male,0,1,1,16,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,No,No,Yes,No,Yes,No,1442.2,90.8
0112-QWPNC,Yes,Male,0,1,0,49,1,1,One year,0,Electronic check,DSL,Yes,No,Yes,Yes,Yes,Yes,4059.35,84.35
0114-IGABW,No,Female,0,1,0,71,0,0,Two year,0,Bank transfer (automatic),DSL,No,Yes,Yes,Yes,Yes,Yes,4145.9,58.25
0114-PEGZZ,No,Female,0,0,0,33,1,1,Month-to-month,0,Electronic check,Fiber optic,No,Yes,Yes,No,Yes,Yes,3645.5,107.55
0114-RSRRW,No,Female,0,1,0,10,1,0,Month-to-month,1,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,187.75,19.95
0115-TFERT,Yes,Male,0,1,0,21,1,1,Month-to-month,1,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,2317.1,111.2
0117-LFRMW,Yes,Male,0,1,1,37,0,0,Month-to-month,0,Bank transfer (automatic),DSL,Yes,Yes,Yes,No,No,No,1448.8,40.2
0118-JPNOY,No,Female,1,0,0,26,1,0,Month-to-month,1,Credit card (automatic),Fiber optic,Yes,No,No,No,Yes,No,2193.65,85.8
0120-YZLQA,N/A,Male,0,0,0,71,1,0,Two year,1,Credit card (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1355.1,19.9
0121-SNYRK,No,Male,0,0,0,50,0,0,One year,1,Mailed check,DSL,Yes,No,No,Yes,No,No,1748.9,35.4
0122-OAHPZ,Yes,Female,0,0,0,7,1,1,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,No,No,511.25,73.85
0123-CRBRT,No,Female,0,1,1,61,1,1,Two year,0,Mailed check,DSL,Yes,Yes,Yes,Yes,Yes,Yes,5526.75,88.1
0125-LZQXK,Yes,Male,0,0,0,15,1,0,Month-to-month,1,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,Yes,1553.95,101.35
0128-MKWSG,No,Female,0,0,1,26,0,0,Month-to-month,0,Mailed check,DSL,Yes,No,No,Yes,No,Yes,1147.0,45.8
0129-KPTWJ,No,Male,0,1,0,72,1,0,Month-to-month,1,Electronic check,Fiber optic,No,No,Yes,No,Yes,Yes,6747.35,94.65
0129-QMPDR,No,Male,0,1,1,44,1,0,One year,1,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,865.05,20.5
0130-SXOUN,No,Male,0,0,0,66,1,1,Month-to-month,0,Credit card (automatic),Fiber optic,No,Yes,No,No,No,Yes,5976.9,89.4
0133-BMFZO,Yes,Female,0,0,0,2,1,0,Month-to-month,1,Electronic check,Fiber optic,Yes,Yes,No,Yes,No,No,181.65,86.25
0134-XWXCE,No,Female,1,0,0,44,1,0,One year,0,Bank transfer (automatic),DSL,No,No,Yes,Yes,Yes,Yes,3268.05,74.85
0135-NMXAP,Yes,Female,0,0,0,12,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,No,Yes,No,No,Yes,No,1052.4,89.75
0136-IFMYD,No,Male,1,1,0,69,1,1,Two year,1,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,7634.25,109.95
0137-OCGAB,Yes,Female,0,0,0,1,1,1,Month-to-month,1,Mailed check,Fiber optic,No,Yes,No,No,No,No,80.2,80.2
0137-UDEUO,Yes,Female,0,0,0,3,1,0,Month-to-month,0,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,63.75,19.85
0139-IVFJG,No,Female,0,1,0,2,1,0,Month-to-month,0,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,No,190.5,90.35
0141-YEAYS,No,Female,1,0,0,27,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,No,Yes,Yes,No,No,No,2401.05,86.45
0142-GVYSN,No,Male,0,0,0,26,1,0,Month-to-month,1,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,511.25,20.3
0147-ESWWR,No,Female,1,1,0,39,1,1,Month-to-month,1,Electronic check,Fiber optic,No,No,No,Yes,Yes,Yes,3949.15,101.25
0148-DCDOS,Yes,Male,0,0,0,25,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,No,No,No,No,Yes,Yes,2362.1,94.7
0151-ONTOV,Yes,Female,0,0,0,1,1,0,Month-to-month,0,Mailed check,Fiber optic,No,No,No,No,No,No,70.9,70.9
0154-QYHJU,N/A,Male,0,0,0,29,1,0,One year,1,Electronic check,DSL,Yes,Yes,No,Yes,No,No,1696.2,58.75
0156-FVPTA,Yes,Male,0,1,0,22,1,0,Month-to-month,1,Electronic check,DSL,Yes,No,No,Yes,No,No,1152.7,54.2
0162-RZGMZ,N/A,Female,1,0,0,5,1,0,Month-to-month,0,Credit card (automatic),DSL,Yes,Yes,No,Yes,No,No,287.85,59.9
0164-APGRB,No,Female,0,0,0,72,1,1,Two year,1,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,8496.7,114.9
0164-XAIRP,No,Female,0,0,0,24,1,0,Two year,1,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,470.2,19.55
0168-XZKBB,No,Female,0,1,0,19,1,1,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,Yes,No,1564.4,86.85
0174-QRVVY,No,Male,0,1,1,71,1,1,Two year,0,Credit card (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1847.55,25.35
0177-PXBAT,No,Male,1,1,0,33,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,Yes,No,Yes,Yes,Yes,Yes,3694.7,109.9
0178-CIIKR,No,Female,0,0,0,3,1,0,Month-to-month,0,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,58.0,19.95
0178-SZBHO,No,Male,0,1,1,47,1,1,Month-to-month,0,Electronic check,Fiber optic,No,Yes,No,No,Yes,No,4017.45,87.2
0181-RITDD,No,Male,0,1,1,62,1,0,Two year,0,Mailed check,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,6825.65,108.15
0186-CAERR,No,Male,0,0,0,71,1,1,One year,1,Bank transfer (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,8309.55,116.3
0187-QSXOE,No,Male,1,1,0,7,1,0,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,Yes,Yes,605.45,89.0
0187-WZNAB,No,Female,0,1,1,27,1,0,Month-to-month,0,Mailed check,Fiber optic,Yes,No,No,No,No,No,1972.35,74.4
0188-GWFLE,No,Male,0,0,0,2,1,0,Month-to-month,0,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,33.7,20.05
0191-EQUUH,No,Female,0,0,1,25,0,0,Two year,0,Bank transfer (automatic),DSL,Yes,No,No,Yes,No,No,844.45,35.05
0191-ZHSKZ,No,Male,1,0,0,30,1,0,Month-to-month,1,Electronic check,DSL,Yes,Yes,No,No,Yes,Yes,2111.3,74.75
0193-ESZXP,Yes,Female,1,1,0,58,1,0,One year,1,Credit card (automatic),Fiber optic,Yes,Yes,No,Yes,Yes,Yes,6205.5,105.5
0195-IESCP,Yes,Male,0,1,0,10,1,1,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,No,Yes,855.3,85.25
0196-JTUQI,No,Female,0,0,0,9,1,1,Month-to-month,1,Credit card (automatic),Fiber optic,No,No,No,No,No,No,633.85,75.2
0196-VULGZ,Yes,Female,1,1,0,6,1,1,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,No,Yes,474.9,84.35
0197-PNKNK,No,Female,0,1,1,69,1,1,One year,0,Bank transfer (automatic),Fiber optic,Yes,No,Yes,No,No,No,5848.6,84.45
0201-MIBOL,No,Female,1,0,0,66,1,1,Two year,1,Bank transfer (automatic),Fiber optic,Yes,No,No,No,Yes,Yes,6471.85,102.4
0201-OAMXR,Yes,Female,0,0,0,70,1,1,One year,0,Credit card (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,8127.6,115.55
0203-HHYIJ,Yes,Male,0,0,0,25,1,1,One year,0,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,676.35,25.3
0206-OYVOC,No,Female,0,1,1,46,1,0,Two year,1,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,864.2,19.25
0206-TBWLC,No,Female,0,1,0,54,1,1,One year,1,Mailed check,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,6049.5,114.65
0207-MDKNV,Yes,Female,0,0,0,15,1,0,Month-to-month,0,Electronic check,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,1582.75,105.1
0208-BPQEJ,No,Female,0,1,1,12,1,0,Month-to-month,0,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,198.1,19.4
0212-ISBBF,No,Female,0,0,0,22,0,0,Month-to-month,1,Electronic check,DSL,No,Yes,No,No,Yes,Yes,1098.85,50.35
0214-JHPFW,No,Female,0,1,0,70,0,0,Two year,0,Bank transfer (automatic),DSL,No,Yes,Yes,Yes,Yes,Yes,4039.3,57.8
0215-BQKGS,No,Male,0,0,0,30,1,0,Month-to-month,1,Credit card (automatic),Fiber optic,Yes,Yes,Yes,No,No,No,2438.6,84.3
0218-QNVAS,No,Male,0,1,1,71,1,1,One year,0,Bank transfer (automatic),Fiber optic,No,Yes,No,No,Yes,Yes,7113.75,100.55
0219-QAERP,No,Male,0,1,0,30,1,0,One year,0,Credit card (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,576.65,19.8
0219-YTZUE,Yes,Male,0,1,1,4,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,No,Yes,Yes,No,No,No,371.9,84.8
0220-EBGCE,Yes,Male,0,0,0,2,1,0,Month-to-month,1,Electronic check,Fiber optic,No,No,Yes,No,No,Yes,167.3,85.85
0221-NAUXK,No,Male,0,0,1,10,1,0,One year,1,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,219.5,19.95
0221-WMXNQ,No,Male,1,0,0,4,1,0,Month-to-month,0,Electronic check,Fiber optic,Yes,No,No,No,No,No,273.4,75.35
0222-CNVPT,No,Male,1,0,0,52,0,0,Month-to-month,1,Credit card (automatic),DSL,Yes,No,No,No,Yes,Yes,2555.05,48.8
0224-HJAPT,Yes,Male,0,0,0,5,1,1,Month-to-month,0,Electronic check,DSL,No,No,No,No,No,No,223.15,47.15
0224-NIJLP,No,Male,0,1,1,8,1,0,Two year,0,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,165.5,20.15
0224-RLWWD,No,Female,1,0,0,2,1,0,Month-to-month,1,Electronic check,DSL,No,No,No,No,No,No,89.3,44.3
0225-ZORZP,No,Male,0,0,0,3,1,0,Month-to-month,0,Electronic check,Fiber optic,No,Yes,No,No,No,Yes,235.05,84.3
0228-MAUWC,No,Male,0,0,0,19,1,1,Month-to-month,0,Electronic check,DSL,No,No,Yes,Yes,No,No,1144.6,59.55
0229-LFJAF,No,Male,0,0,0,72,1,1,Two year,0,Bank transfer (automatic),DSL,Yes,Yes,Yes,Yes,No,No,4908.25,69.65
0230-UBYPQ,No,Male,1,1,0,63,0,0,One year,0,Bank transfer (automatic),DSL,Yes,No,No,Yes,No,No,2298.9,36.1
0230-WEQUW,No,Male,0,1,0,66,0,0,Two year,1,Bank transfer (automatic),DSL,Yes,Yes,Yes,Yes,Yes,No,3789.2,56.6
0231-LXVAP,Yes,Male,0,0,0,1,1,0,Month-to-month,1,Electronic check,Fiber optic,No,No,No,Yes,No,No,75.9,75.9
0233-FTHAV,No,Female,0,0,0,60,1,1,One year,1,Bank transfer (automatic),Fiber optic,No,No,Yes,No,No,No,4765.0,79.2
0234-TEVTT,No,Female,0,1,1,48,0,0,One year,0,Credit card (automatic),DSL,Yes,No,Yes,No,No,Yes,2196.3,45.0
0235-KGSLC,Yes,Female,0,0,0,1,1,0,Month-to-month,1,Credit card (automatic),Fiber optic,No,No,Yes,No,Yes,No,85.55,85.55
0236-HFWSV,Yes,Male,0,0,0,15,1,1,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,Yes,Yes,1444.65,93.35
0237-YFUTL,No,Female,0,1,0,50,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,Yes,Yes,No,Yes,Yes,Yes,5405.8,109.65
0238-WHBIQ,No,Male,0,1,1,72,1,1,Two year,0,Credit card (automatic),DSL,Yes,Yes,Yes,Yes,Yes,Yes,6339.3,89.7
0239-OXEXL,No,Female,0,0,0,46,1,1,Month-to-month,0,Mailed check,Fiber optic,Yes,Yes,No,No,No,No,3847.6,84.25
0244-LGNFY,No,Female,0,1,1,72,1,1,Two year,0,Bank transfer (automatic),DSL,Yes,Yes,Yes,Yes,Yes,Yes,6733.0,92.65
0247-SLUJI,No,Male,0,1,1,1,1,0,Month-to-month,0,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.7,19.7
0248-IPDFW,No,Female,0,0,0,1,1,1,Month-to-month,1,Electronic check,DSL,No,No,No,No,No,No,50.1,50.1
0248-PGHBZ,No,Female,1,0,0,67,1,0,Two year,1,Bank transfer (automatic),Fiber optic,Yes,Yes,No,Yes,Yes,No,6140.85,92.45
0253-ZTEOB,No,Female,0,1,1,48,1,1,Two year,0,Electronic check,DSL,No,Yes,No,Yes,Yes,Yes,3870.3,79.65
0254-FNMCI,No,Female,0,0,0,72,1,0,Two year,1,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,7624.2,109.9
0254-KCJGT,No,Male,0,1,0,52,1,1,One year,1,Credit card (automatic),DSL,Yes,Yes,Yes,Yes,No,Yes,4354.45,81.4
0254-WWRKD,No,Female,0,1,1,67,1,0,One year,0,Credit card (automatic),DSL,No,Yes,No,No,No,No,3431.75,50.55
0256-LTHVJ,Yes,Female,0,1,1,28,1,0,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,No,Yes,2227.1,81.05
0257-KXZGU,No,Female,0,1,1,32,1,1,Month-to-month,0,Bank transfer (automatic),DSL,No,Yes,Yes,No,No,No,2045.55,62.45
0257-ZESQC,Yes,Female,1,1,0,27,1,0,Month-to-month,1,Bank transfer (automatic),Fiber optic,Yes,No,No,No,No,No,1929.35,75.2
0258-NOKBL,No,Male,0,0,0,3,1,0,Month-to-month,0,Electronic check,Fiber optic,No,Yes,Yes,No,No,Yes,268.45,90.4
0259-GBZSH,Yes,Male,0,0,0,2,1,1,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,Yes,No,181.5,85.65
0260-ZDLGK,Yes,Female,0,0,1,9,1,0,Month-to-month,1,Mailed check,DSL,No,No,Yes,Yes,Yes,Yes,651.4,72.9
0263-FJTQO,No,Male,0,1,1,50,1,1,Two year,1,Credit card (automatic),DSL,Yes,No,No,Yes,Yes,No,3486.65,70.5
0264-CNITK,No,Female,0,1,1,71,1,0,Two year,0,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1389.6,20.1
0265-EDXBD,Yes,Male,1,1,0,32,1,1,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,No,No,2303.35,74.9
0265-PSUAE,No,Female,0,1,1,16,1,0,Month-to-month,0,Bank transfer (automatic),Fiber optic,Yes,No,Yes,No,Yes,Yes,1522.7,100.7
0266-CLZKZ,No,Female,0,1,1,67,1,1,Two year,1,Bank transfer (automatic),Fiber optic,No,No,Yes,Yes,Yes,Yes,6717.9,105.65
0266-GMEAO,No,Male,0,1,1,72,1,1,Two year,1,Credit card (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,8058.55,114.3
0268-QKIWO,Yes,Female,0,0,0,3,1,0,Month-to-month,0,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,58.85,19.75
0269-XFESX,No,Male,0,1,1,23,1,1,One year,0,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,538.5,24.35
0270-THENM,No,Male,0,1,1,72,1,1,Two year,0,Bank transfer (automatic),DSL,Yes,Yes,Yes,Yes,No,No,5102.35,69.85
0274-JKUJR,No,Male,0,1,1,7,0,0,Month-to-month,0,Mailed check,DSL,Yes,Yes,Yes,No,Yes,Yes,465.7,58.85
0274-VVQOQ,N/A,Male,1,1,0,65,1,1,One year,1,Bank transfer (automatic),Fiber optic,No,Yes,Yes,No,Yes,Yes,6792.45,103.15
0277-BKSQP,No,Male,0,1,1,8,1,0,Month-to-month,1,Electronic check,DSL,No,No,No,No,Yes,No,475.1,54.4
0277-ORXQS,No,Male,0,1,1,66,0,0,Two year,0,Bank transfer (automatic),DSL,No,No,No,Yes,Yes,Yes,3364.55,50.55
0278-YXOOG,Yes,Male,0,0,0,5,1,0,Month-to-month,0,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,113.85,21.05
0280-XJGEX,Yes,Male,0,0,0,49,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,No,Yes,Yes,No,Yes,Yes,5036.3,103.7
